id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
162,vinegar (balsamic),0,20,0,5,0,4,5,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:30,2023-08-30 03:20:02,0.0
163,oxtail,8,85,5,1,0,0,1,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:32,2022-04-22 11:55:32,0.0
164,radish (small),1,16,0,3,2,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:33,2023-08-30 14:42:01,32.0
165,gelatin,26,101,0,0,0,0,0,30,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:35,2023-09-08 09:16:19,0.0
166,baking soda,0,0,0,0,0,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:37,2022-04-22 11:55:37,0.0
167,bananas,1,89,0,23,3,12,20,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:38,2023-08-12 10:05:17,51.0
168,grapes,1,67,0,17,1,16,16,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:40,2023-09-08 09:17:03,53.0
169,pineapple,1,50,0,13,1,10,12,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:41,2023-09-08 09:13:14,66.0
171,tapioca flour (starch),0,333,0,87,0,0,87,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:44,2023-09-19 09:23:26,70.0
172,pine nuts,14,673,68,13,4,4,9,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:46,2023-09-01 00:45:14,15.0
173,pear,0,57,0,15,3,10,12,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:47,2022-04-22 11:55:47,0.0
